heading,link,time,source
"Notification for Online Eligibility Test (ET) for Post Qualification Course on Information Systems Audit on Saturday the 14th September, 2024 (10:00 AM to 12:30 PM) - (21-08-2024)",https://resource.cdn.icai.org/81592daab65812.pdf,21-08-2024,ICAI
"Advertisement for the post of Member Secretary in the Indian Council of Historical Research (ICHR), Delhi  (Thursday,22-August-2024 ) - (848.13 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/ichr-1509.pdf ,"Thursday,22-August-2024",Education Ministry
"Ministry of Education launches second cycle of Capacity Building Program on Specific Learning Disability  (Friday,23-August-2024 ) - (100.87 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2047758.pdf ,"Friday,23-August-2024",Education Ministry
Final Result of the Screening for the post of Computer Programmer,https://www.niepa.ac.in/download/Recruitment/2024/cp/Final_result_of_the_Screening_Committee_of_Computer_Programmer.pdf,Not available,NIEPA
“Awareness Campaign against drug abuse...Say no to drugs and yes to life” (367 KB) 23/08/2024,https://www.cbse.gov.in/cbsenew/documents/NCB_Say_No_Durg_23082024.pdf,23/08/2024,CBSE
Department: PGP/PGO/M.Sc.(SLP)/M.Sc.(Audio)& M.Sc.(P&O) CET Subject: NOTICE No. 02 PGP-CET/PGO-CET/M.Sc.(SLP)/M.Sc.(Audio)-CET & M.Sc.(P&O) CET-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.02.pdf,23/08/2024,MahaCET
Department: MBA/MMS(Lateral Entry) Subject: Important Notice MBA Lateral Entry CGPA to Percentage conversion,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MBA_Lateral_Notice-1.pdf,23/08/2024,MahaCET
Department: PGP/PGO/M.Sc.(SLP)/M.Sc.(Audio)& M.Sc.(P&O) CET Subject: NOTICE No. 03 PGP-CET/PGO-CET/M.Sc.(SLP)/M.Sc.(Audio)-CET & M.Sc.(P&O) CET-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/20240823053358.pdf,23/08/2024,MahaCET
Department: nan Subject: Important instructions video for candidates under Technical Education courses,https://youtu.be/UBkYzjZHZXI?si=PwKEDdANGjgSUxVD,27/08/2024,MahaCET
Setting up of 'Composite Skill Labs' in CBSE schools (1.49 MB) 27/08/2024,https://www.cbse.gov.in/cbsenew/documents/75_Circular_2024_Composite_Skill_Labs_27082024.pdf,27/08/2024,CBSE
Press Release : Trainers Certification Course for CBSE Resource Persons (1.24 MB) 23/08/2024,https://www.cbse.gov.in/cbsenew/documents/Training_Mgmt_CBSE_Resource_Persons_23082024.pdf,23/08/2024,CBSE
Department: nan Subject: Important instructions video for candidates under Technical Education courses,https://youtu.be/r-39KeaL5Ro?si=wDzH-I3jjwIpOztc,27/08/2024,MahaCET
Department: MAH-B.BCA/BBA/BMS/BBM-CET Subject: Additional MAH-B.BCA/BBA/BMS/BBM-CET 2024 result is declared.,https://portal.maharashtracet.org/,28/08/2024,MahaCET
Convocation Pictures 2024,https://convocation.iitd.ac.in/currentgallery,Not available,IIT-DELHI
Department: nan Subject: Notice Regarding Academic Fees under Medical Education Courses for A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Regarding-Admission-fees-2024-25-1.pdf,28/08/2024,MahaCET
"Department of Higher Education selects 16 teachers from HEIs and Polytechnics for National Awards to Teachers (NAT) 2024  (Wednesday,28-August-2024 ) - (164.9 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2049495.pdf ,"Wednesday,28-August-2024",Education Ministry
"Press Release : CBSE organises ""Say No to Drugs and Yes to Life"" campaign to combat substance abuse in collaboration with Narcotics Control Bureau (723 KB) 28/08/2024",https://www.cbse.gov.in/cbsenew/documents/Press_Release_Say_No_to_Drugs_and_Yes_to_Life_29082024.pdf,28/08/2024,CBSE
Department: nan Subject: NOTICE NO. 04 NEET-UG-2024 Extension for Preference/Choice Filling for MBBS/BDS,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.4_Extension-for-Choice-Filling_MBBS-BDS.pdf,29/08/2024,MahaCET
The written test for the post of Computer Programmer (Advt. No. 01/2024/NIEPA) is rescheduled for 18.09.2024,https://niepa.ac.in/,Not available,NIEPA
"Department: NEET UG Subject: Dear Candidate, There is some technical issue with server so many of you might face issues while saving or locking the choice for MBBS/BDS. Kindly do not panic, CET team is working endlessly and the issue will be resolved soon, Also sufficient time will be given to all to lock their choices.",https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.4_Extension-for-Choice-Filling_MBBS-BDS.pdf,30/08/2024,MahaCET
"Department: nan Subject: Online Choice / Preference Filling Process for MBBS/BDS is Extended upto 30/08/2024, 5.00 PM. (Server time)",https://cetcell.mahacet.org/wp-content/uploads/2023/12/Regarding-Admission-fees-2024-25-1.pdf,30/08/2024,MahaCET
"Department: NEET UG Subject: Dear Candidate, There is some technical issue with server so many of you might face issues while saving or locking the choice for MBBS/BDS. Kindly do not panic, CET team is working endlessly and the issue will be resolved soon, Also sufficient time will be given to all to lock their choices.",https://cetcell.mahacet.org/wp-content/uploads/2023/12/Regarding-Admission-fees-2024-25-1.pdf,30/08/2024,MahaCET
"Department: MBBS/BDS Subject: Online Choice / Preference Filling Process for MBBS/BDS is Extended upto 30/08/2024, 5.00 PM. (Server time)",https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.4_Extension-for-Choice-Filling_MBBS-BDS-1.pdf,30/08/2024,MahaCET
"In a major move towards fulfilling the vision of NEP 2020, Letter of Intent issued to University of Southampton, UK, to establish campus in India ; Dr. S Jaishankar graced the occasion  (Thursday,29-August-2024 ) - (203.85 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2049864.pdf ,"Thursday,29-August-2024",Education Ministry
Launch of ATAL 6 Day Online FDP Proposal Submission,https://docs.google.com/forms/d/e/1FAIpQLSemKX6-wg0Mv719RX485bwZHT94vFK10lewA7u6KgYY8NFDbg/viewform,"Friday, August 30, 2024",AICTE
PG scholarship 2024-25_Notification,https://www.aicte-india.org/sites/default/files/Notification%202024-25.pdf,"Friday, August 30, 2024",AICTE
Notifications for detachment of Vizianagaram District (Andhra Pradesh) from the Jurisdiction of Visakhapatnam Branch of SIRC of ICAI - (03-09-2024),https://resource.cdn.icai.org/81932rba66075d.pdf,03-09-2024,ICAI
Setting up of a New Branch of ICAI at Vizianagaram District (Andhra Pradesh) of SIRC of ICAI - (03-09-2024),https://resource.cdn.icai.org/81933rba66075s.pdf,03-09-2024,ICAI
C-DAC Master Trainer List,https://www.aicte-india.org/sites/default/files/Master%20Trainer%20Update%20list.pdf,"Tuesday, September 3, 2024",AICTE
Press Release : CBSE takes action to curb the menace of dummy schools  (197 KB) 03/09/2024,https://www.cbse.gov.in/cbsenew/documents/Press_Release_Dummy_School_03092024.pdf,03/09/2024,CBSE
"Call for tenth edition of the International UNESCO/José Marti Prize  (Tuesday,03-September-2024 ) - (1.25 MB)",https://www.education.gov.in/sites/upload_files/mhrd/files/unesco_jose.pdf ,"Tuesday,03-September-2024",Education Ministry
Department: PGP CET/PGO CET/M.Sc.(SLP)-M.Sc.(Audio)/M.Sc. P&O Subject: NOTICE NO. 04 PGP CET/PGO CET/M.Sc.(SLP)-M.Sc.(Audio)/M.Sc. P&O CET- 2024 Objection Tracking,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.04-_Objection-Tracking-Schedule.pdf,03/09/2024,MahaCET
"President of India to confer National Teachers’ Award 2024 to 82 selected teachers on 5th September 2024  (Wednesday,04-September-2024 ) - (20.38 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2051905.pdf ,"Wednesday,04-September-2024",Education Ministry
"Shri Dharmendra Pradhan inaugurates workshop on Institutional Development Plan for Higher Education Institutes and releases UGC Compendium of Regulations (1957-2023)  (Wednesday,04-September-2024 ) - (118.88 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2051770.pdf ,"Wednesday,04-September-2024",Education Ministry
"Shri Dharmendra Pradhan inaugurates workshop on Institutional Development Plan for Higher Education Institutes and releases UGC Compendium of Regulations (1957-2023)  (Thursday,05-September-2024 ) - (118.88 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2051770.pdf ,"Thursday,05-September-2024",Education Ministry
"Media Invitation from Education Ministry  (Wednesday,04-September-2024 ) - (123.15 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/Media_Invitation_Teachers_Awards_2024.pdf ,"Wednesday,04-September-2024",Education Ministry
Message from Hon'ble Prime Minister of India on the occasion of Teachers' Day 2024  (275 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/PM_Message_Teachers_Day_2024_05092024.pdf,05/09/2024,CBSE
Submission of List of Candidates (LOC) for Class X/XII Examination - 2024-25-reg  (20.5 MB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/Submission_LOC_Class_X_XII_2024_25_04092024.pdf,05/09/2024,CBSE
"Caution to the Schools, Students and Parents for submitting correct student data and subjects in List of Candidates (LOC) - regarding  (855 KB) 05/09/2024",https://www.cbse.gov.in/cbsenew/documents/Caution_School_Students_Parents_LOC_Regarding_04092024.pdf,05/09/2024,CBSE
Doing away with the hard copy of the Migration Certificate for both Classes X & XII  (612 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/Doing_away_Migration_Certificate_X_XII_DADS_04092024.pdf,05/09/2024,CBSE
Department: nan Subject: Important instructions video for L.L.B. 5 Years and B.A.B.Ed / B.Sc.B.Ed CAP 2024,https://youtu.be/FsG6SvJwftg?si=tP2kFBZLPnvq1yAR,05/09/2024,MahaCET
Department: All Courses Subject: Imp Notice regarding Ganesh Chaturthi,https://cetcell.mahacet.org/wp-content/uploads/2023/12/20240814011730.pdf,05/09/2024,MahaCET
Link for Live streaming of National Teachers' Awards 2024 function on 5th September 2024 at 16:15 hrs onwards 05/09/2024,https://webcast.gov.in/moe/,05/09/2024,CBSE
Message from Hon'ble President of India on the occasion of Teachers' Day 2024  (661 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/President_Message_Teachers_Day_2024_05092024.pdf,05/09/2024,CBSE
Message from Hon'ble Minister of Education of India on the occasion of Teachers' Day 2024  (401 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/SM_Message_Teachers_Day_2024_05092024.pdf,05/09/2024,CBSE
Message from Hon'ble Minister of State (Education) of India on the occasion of Teachers' Day 2024  (273 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/MoS_Message_Teachers_Day_2024_05092024.pdf,05/09/2024,CBSE
"Download Admit Card Recruitment 2024 : The Post of Assistant Secretary (Academics, Training and Skill Education) 05/09/2024",https://examinationservices.nic.in/RecSys24/root/DownloadAdmitCard.aspx?appformid=102112411,05/09/2024,CBSE
"Download Admit Card Recruitment 2024 : Various Administrative Posts (Group A, B & C - except Junior Engineer and Junior Translation Officer) 05/09/2024",https://examinationservices.nic.in/RecSys24/root/DownloadAdmitCard.aspx?appformid=102122411,05/09/2024,CBSE
Public Notice:- CBSE Recruitment Examination August 2024 (409 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/Public_Notice_CBSE_Recruitment_Examination_August_2024_05092024.pdf,05/09/2024,CBSE
Circular regarding Hindi Pakhwada 2024 on 14 September (650 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/HINDI_PAKHWADA_2024_05092024.pdf,05/09/2024,CBSE
Press Release : CBSE conducts surprise inspections in 27 Schools across Rajasthan and Delhi (196 KB) 05/09/2024,https://www.cbse.gov.in/cbsenew/documents/PRESS_RELEASE_27_School_Inspection_05092024.pdf,05/09/2024,CBSE
"Download result for  Recruitment 2024 : Post of Assistant Secretary (Academics, Training and Skill Education) 05/09/2024",https://examinationservices.nic.in/RecSys24/root/DownloadAdmitCard.aspx?appformid=102112411,05/09/2024,CBSE
"Download result for Recruitment 2024 : Various Administrative Posts (Group A, B & C - except Junior Engineer and Junior Translation Officer) 05/09/2024",https://examinationservices.nic.in/RecSys24/root/DownloadAdmitCard.aspx?appformid=102122411,05/09/2024,CBSE
“Workshop for Principals / Head of Schools on Parenting for students’ well-being” (398 KB) 06/09/2024,https://www.cbse.gov.in/cbsenew/documents/Circular_Principal_Workshop_06092024.pdf,06/09/2024,CBSE
"President of India Confers National Awards on Teachers  (Thursday,05-September-2024 ) - (301.27 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2052338.pdf ,"Thursday,05-September-2024",Education Ministry
"Celebrating Teacher’s Day  (Thursday,05-September-2024 ) - (50.13 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2052245.pdf ,"Thursday,05-September-2024",Education Ministry
Counselors’ Conclave on “Shaping the Landscape of well-being in schools” (303 KB) 06/09/2024,https://www.cbse.gov.in/cbsenew/documents/Counselors_Conclave_on_Shaping_the_Landscape_of_well_being_in_schools_06092024.pdf,06/09/2024,CBSE
"UNESCO vacancy for the post of Programme Specialist (Natural Sciences) - (P-3) at Santiago, Chile  (Friday,06-September-2024 ) - (32.48 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/unesco_ps.pdf ,"Friday,06-September-2024",Education Ministry
"UNESCO vacancy for the post of Chief of Section (Management of Social Transformation & Foresight)  (Friday,06-September-2024 ) - (32.09 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/unesco_cos.pdf ,"Friday,06-September-2024",Education Ministry
"UNESCO vacancy for Individual Consultant (mid-level) for Natural Sciences Unit at UNESCO Regional Office for East Asia (Natural Sciences Unit), Beijing  (Friday,06-September-2024 ) - (32.77 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/unesco_ic.pdf ,"Friday,06-September-2024",Education Ministry
Notice regarding for Central Sector Scheme of Scholarship for College and University Students (CSSS) for Academic Year 2024-25 (277 KB) 06/09/2024,https://www.cbse.gov.in/cbsenew/documents/Public_Notice_CSSS_2024_25_06092024.pdf,06/09/2024,CBSE
Post Qualification Course on Information Systems Audit at Kanpur (Physical) from 05 Oct 2024 to 10 Nov 2024.- (09-09-2024),https://resource.cdn.icai.org/82041daab66143.pdf,09-09-2024,ICAI
Department: MBA/MMS Subject: Important instructions video for MBA/MMS (Integrated) CAP 2024,https://youtu.be/jGpLadI7EDs,10/09/2024,MahaCET
Department: BCA Subject: Important instructions video for BCA 2024,https://youtu.be/IjLmS0ILWlw,10/09/2024,MahaCET
Department: All Courses Under Technical Education Subject: Important instructions video for Candidates regarding required documents CAP A.Y. 2024-25,https://youtu.be/z_0En2kCH0s,10/09/2024,MahaCET
Department: BBA Subject: Important instructions video for BBA CAP 2024,https://youtu.be/S-P4rhOehW0,10/09/2024,MahaCET
Department: B.BCA/BBA/BMS/BBM/MBA (Integrated)/ MCA (Integrated) Subject: FINAL EXTENSION – ADMISSION NOTICE FOR B.BCA/BBA/BMS/BBM/MBA (Integrated)/ MCA (Integrated) FOR ACADEMIC YEAR 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/BBA-BCA-BMS-BBMD-2024-Activity-Schedule-no-3.pdf,10/09/2024,MahaCET
Post Qualification Course on Information Systems Audit at Anantapur (Physical) from 09 Nov 2024 to 15 Dec 2024. - (10-09-2024),https://resource.cdn.icai.org/82054daab66161.pdf,10-09-2024,ICAI
Post Qualification Course on Information Systems Audit at Hyderabad (Physical) from 05 Oct 2024 to 17 Nov 2024.- (10-09-2024),https://resource.cdn.icai.org/82055daab66165.pdf,10-09-2024,ICAI
Joint PhD: Univ. of Queensland & IIT Delhi,https://uqiitd.org,Not available,IIT-DELHI
Reminder regarding timely filling of LOC for class X/XII -2024-25 -reg. (244 KB) 11/09/2024,https://www.cbse.gov.in/cbsenew/documents/LOC_Reminder_I2024_25 _11092024.pdf,11/09/2024,CBSE
Post Qualification Course on Information Systems Audit at Muzaffarnagar (Physical) from 05 Oct 2024 to 24 Nov 2024.- (11-09-2024),https://resource.cdn.icai.org/82099daab66178.pdf,11-09-2024,ICAI
"Appointment of Vice-Chancellor of Banaras Hindu University  (Thursday,12-September-2024 ) - (949.28 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/advertisement_appointment_VC_BHU.pdf ,"Thursday,12-September-2024",Education Ministry
Notice regarding Submission of Examination forms by Private Students for Examinations - 2025 Class X (5.51 MB) | Class XII (6.91 MB) 12/09/2024,https://www.cbse.gov.in/cbsenew/documents/SUBMISSION_EXAMINATION_FORMS_PRIVATE_STUDENTS_CLASS_X_EXAMINATION_2025_12092024.pdf,12/09/2024,CBSE
"Submission of Registration Data of Candidates for Class IX/XI, 2024-25 (11.7 MB) 12/09/2024",https://www.cbse.gov.in/cbsenew/documents/SUBMISSION_REGISTRATION_DATA_CANDIDATES_CLASS_IXXI_2024_25_12092024.pdf,12/09/2024,CBSE
"Reminder-Caution to Schools, Students and Parents for submitting correct student data and subjects in List of Candidates (LOC) - reg (318 KB) 12/09/2024",https://www.cbse.gov.in/cbsenew/documents/Reminder_1_Caution_School_Students_Parents_LOC_Regarding_12092024.pdf,12/09/2024,CBSE
Post Qualification Course on Information Systems Audit at Mumbai (Physical) from 21 Sept 2024 to 10 Nov 2024. - (13-09-2024),/post/daab-isa-mumbai-2024,13-09-2024,ICAI
Download your admit cards for the post of computer programmer,https://niepant.samarth.edu.in/index.php/site/login,Not available,NIEPA
Department: PGP/PGO/SLP-Audio/P&O CET 2024 Subject: Notice for Display – Objection Redressal – PGP/PGO/SLP-Audio/P&O CET 2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.05_Objection-Redressal.pdf,13/09/2024,MahaCET
Press Release : CBSE Issues Show-Cause Notices to 27 Schools in Rajasthan and Delhi for Violating Bye-Laws (320 KB) 13/09/2024,https://www.cbse.gov.in/cbsenew/documents/PRESS_RELEASE_Showcause_27_School_AFF_13092024.pdf,13/09/2024,CBSE
Issuance of FAQs for Timely and Accurate Submission of LOC - 2025 reg (4.97 MB) 13/09/2024,https://www.cbse.gov.in/cbsenew/documents/FAQ_LOC_2024_13092024.pdf,13/09/2024,CBSE
"Department: All Courses Subject: All Candidates , parents and institutes may note that the office of the State Common Entrance Test Cell will continue as usual on Monday , 16-09-2024.",https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.05_Objection-Redressal.pdf,15/09/2024,MahaCET
"Offline participation in consultation workshop on  draft faculty regulation (degree & diploma)-2024 in delhi on 18th september ,2024",https://docs.google.com/forms/d/e/1FAIpQLScCwcMeqeWKNcwY_VoiNTBZPfBpeO4gF6ffmIhqRltmz5aIqg/viewform,"Tuesday, August 13, 2024",AICTE
Circular No. 07/2024 dated 31.05.2024 (769 KB) 17/09/2024,https://www.cbse.gov.in/cbsenew/documents/Circular_AFF_07_2024_31052024_17092024.pdf,17/09/2024,CBSE
Reminder 2 : Following accuracy and timeliness while submitting LOC for class X/XII - 2024-2025 (655 KB) 17/09/2024,https://www.cbse.gov.in/cbsenew/documents/LOC_Reminder_2_17092024.pdf,17/09/2024,CBSE
Public Notice CBSE recruitment examination August - 2024 (Final Answer Key) (659 KB) | Accountant (204 KB) | Accounts Officer (203 KB) | Assistant Secretary (Academics) (209 KB) | Assistant Secretary (Admin) (203 KB) | Junior Accountant (169 KB) | Junior Engineer (210 KB) | Junior Translation Officer (214 KB) 18/09/2024,https://www.cbse.gov.in/cbsenew/documents/Public_Notice_Rec_18092024.pdf,18/09/2024,CBSE
"Dr. Sukanta Majumdar inaugurates Safai Mitra Suraksha Shivir by distributing Swachhata Kit  (Tuesday,17-September-2024 ) - (166.63 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2055555.pdf ,"Tuesday,17-September-2024",Education Ministry
Result of the Interviews held on 22.07.2024 and 23.07.2024 for the post of Professor and Associate Professor (Advt. A3/2023),https://www.niepa.ac.in/teaching_per.aspx,Not available,NIEPA
Attention to Parents for Correct Submission of Data & Subjects (Regarding Registration of Students (Class-IX/XI) and LOC (Class-X/XII)) (3.12 MB) 19/09/2024,https://www.cbse.gov.in/cbsenew/documents/Attention_Parents_Correct_submission_Data_Subjects_19092024.pdf,19/09/2024,CBSE
Offline participation in consultation workshop on  draft faculty regulation (degree & diploma)-2024 in bhopal and chennai,https://docs.google.com/forms/d/e/1FAIpQLScCwcMeqeWKNcwY_VoiNTBZPfBpeO4gF6ffmIhqRltmz5aIqg/viewform,"Tuesday, August 13, 2024",AICTE
Result for the post of Computer Programmer (Advt. No: 01/2024/NIEPA),https://niepa.ac.in/download/Recruitment/2024/cp/CP_result.pdf,Not available,NIEPA
"Ministry of Education and Ministry of Health & Family Welfare Issue Joint Advisory to States/UTs for Effective Implementation of Tobacco-Free Educational Institutions Guidelines and Manual  (Saturday,21-September-2024 ) - (72.27 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2057347.pdf ,"Saturday,21-September-2024",Education Ministry
"Department of Higher Education, Ministry of Education gears up for Special Campaign 4.0  (Wednesday,18-September-2024 ) - (74.74 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2056460.pdf ,"Wednesday,18-September-2024",Education Ministry
"Inviting comments/suggestions on Draft Diploma Regulation 2024 on “Pay Scales, Service Conditions and Minimum Qualifications for the Appointment of Teachers and Other Academic Staff",https://docs.google.com/forms/d/e/1FAIpQLScblUW3wqwQPRBkayKP04uZt0HCJzc9jBa4pMWv6_I6B2q5pA/viewform?pli=1,"Monday, September 23, 2024",AICTE
Offline participation in consultation workshop on  draft faculty regulation (diploma)-2024 in bhopal and chennai,https://docs.google.com/forms/d/e/1FAIpQLScCwcMeqeWKNcwY_VoiNTBZPfBpeO4gF6ffmIhqRltmz5aIqg/viewform,"Tuesday, August 13, 2024",AICTE
Revised Academic Calendar 2024-25,https://www.aicte-india.org/sites/default/files/Circular-Revised%20Calender-1.pdf,"Tuesday, September 24, 2024",AICTE
"Public Notice - CBSE recruitment Examination, 2024(Tier-2 Examination Schedule) (622 KB) 25/09/2024",https://www.cbse.gov.in/cbsenew/documents/Public_Notice_Tier_2_Examination_Schedule_25092024.pdf,25/09/2024,CBSE
"Public Notice - Structure of question paper for Tier-2, CBSE recruitment Examination, 2024 | Assistant Secretary(Administration) (358 KB) | Assistant Secretary(Academics/Training/Skill Education) (341 KB) | Accounts Officer (360 KB) 25/09/2024",https://www.cbse.gov.in/cbsenew/documents/QP_Str_Assistant_Secretary_Administration_25092024.pdf,25/09/2024,CBSE
Reminder - 3 Reminder for filling accurate LOC data 2024-25-reg (371 KB) 25/09/2024,https://www.cbse.gov.in/cbsenew/documents/Reminder_3_filling_accurate_LOC_25092024.pdf,25/09/2024,CBSE
Notification for Online Assessment Test (AT) for Certificate Course on Financial Markets and Securities Laws on 20th October 2024. - 10:00 AM to 1:00 PM ( Paper 1) & 3:00 PM to 6:00 PM ( Paper 2) through DLH by Committee on Financial Markets and Investors' Protection of ICAI-(27-09-2024),https://resource.cdn.icai.org/82278cfmip66356.pdf,27-09-2024,ICAI
"Press Release : CBSE Organizes Principals' Workshop on Parenting for Students’ Well-being at Sardar Patel Vidyalaya, New Delhi (655 KB) 27/09/2024",https://www.cbse.gov.in/cbsenew/documents/Press_Release_PWPS_Sardar_Patel_Vidyalaya_27092024.pdf,27/09/2024,CBSE
CCTV Policy for Board's Examinations - regarding (2.12 MB) 27/09/2024,https://www.cbse.gov.in/cbsenew/documents/CCTV_Policy_Board_Examinations_27092024.pdf,27/09/2024,CBSE
AICTE Approval Portal would not be available to be accessed due to regular maintenance activity scheduled from 28.09.2024(11 a.m.) till 28.09.2024( 5 p.m.).  Inconvenience in this regard is regretted.,No link available,"Saturday, September 28, 2024",AICTE
Result of the Regular Project Advertisement of Project Junior Consultant(IT),https://www.niepa.ac.in/recprosc.aspx,Not available,NIEPA
Enhancing Mental Health Support in Educational Settings through Collaboration and Leadership (1.09 MB) 30/09/2024,https://www.cbse.gov.in/cbsenew/documents/CBSE_Circular_Mental_Helth_Support_30092024.pdf,30/09/2024,CBSE
Only 05 days are left in the last date for submission of LOC - Reg (5.16 MB) 30/09/2024,https://www.cbse.gov.in/cbsenew/documents/LOC_Reminder_3_30092024.pdf,30/09/2024,CBSE
Department: All Courses Under Technical Education Subject: Imp Notice: Admission Date Extension for Courses Under Technical Education A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Date-Extenstion-Notice-2024-25-pdf.pdf,01/10/2024,MahaCET
Only 04 days are left in the last date for submission of LOC - Reg (5.28 MB) 01/10/2024,https://www.cbse.gov.in/cbsenew/documents/LOC_Reminder_4_01102024.pdf,01/10/2024,CBSE
Department: B.BBA/BCA/BBM/BMS Subject: Notice regarding date extension for B.BBA/BCA/BBM/BMS CAP-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice_2-Oct.pdf,01/10/2024,MahaCET
"Ministry of Education in collaboration with NSS organises Swachhata Campaign under theme “Swabhav Swachhata, Sanskaar Swachhata ”at Sri Venkateswara College, University of Delhi  (Wednesday,02-October-2024 ) - (122.1 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2061106.pdf ,"Wednesday,02-October-2024",Education Ministry
"Dr. Sukanta Majumdar inaugurates Safai Mitra Suraksha Shivir at The English and Foreign Languages University Hyderabad  (Saturday,28-September-2024 ) - (65 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2059827.pdf ,"Saturday,28-September-2024",Education Ministry
Result Notification for the post of Joint Secretary on Deputation basis (450 KB) 03/10/2024,https://www.cbse.gov.in/cbsenew/documents/Result_Notification_Depu_JS_03102024.pdf,03/10/2024,CBSE
Result Notification for the post of Under Secretary (Official Language) on Deputation basis (356 KB) 03/10/2024,https://www.cbse.gov.in/cbsenew/documents/Result_Notification_Depu_US_OL_03102024.pdf,03/10/2024,CBSE
Only 02 days are left in the last date for submission of LOC - Reg (5.41 MB) 03/10/2024,https://www.cbse.gov.in/cbsenew/documents/LOC_Reminder_6_03102024.pdf,03/10/2024,CBSE
PG Admission 2024-25,https://home.iitd.ac.in/pg-admissions.php,Not available,IIT-DELHI
"PG Admissions (2nd Semester, 2024-2025) for PhD/ MSR programmes",https://home.iitd.ac.in/pg-admissions.php,Not available,IIT-DELHI
Today is the last day for submission of LOC - Reg (5.95 MB) 04/10/2024,https://www.cbse.gov.in/cbsenew/documents/LOC_Reminder_7_04102024.pdf,04/10/2024,CBSE
"Gazette Notification dated 27th September, 2024 containing 75th Annual Report & Accounts for the year 2023-2024 - (05-10-2024)",https://resource.cdn.icai.org/8240375th-annual-report-icai.pdf,05-10-2024,ICAI
Call for Applications: Transformative Leadership in STEMM (TLS) Workshop for Advanced PhD Scholars from SC/ST community.,https://home.iitd.ac.in/uploads/announcements/TLS poster -2024-25.pdf,Not available,IIT-DELHI
Department: MBBS Subject: Newly Permitted Government Medical Colleges for admission to MBBS course A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.17_New-MBBS-College.pdf,08/10/2024,MahaCET
"Submission of applications for second edition of the UNESCO-AI Fozan International Prize for the Promotion of Young Scientists in Science, Technology, Engineering and Mathematics  (Tuesday,08-October-2024 ) - (6.77 MB)",https://www.education.gov.in/sites/upload_files/mhrd/files/AI-FOZAN%20.pdf ,"Tuesday,08-October-2024",Education Ministry
"Notification for Online Assessment Test (AT) for Certificate Course on Forensic Accounting and Fraud Detection on Saturday, the 09th November, 2024Â - (09-10-2024)",https://resource.cdn.icai.org/82442daab66522.pdf,09-10-2024,ICAI
Call for applications for Awards for Innovations and Good Practices in Educational Administration,https://www.niepa.ac.in/innovation2024,Not available,NIEPA
